,BBL,XCoord,YCoord,norm_site_eui,norm_source_eui,energy_star,LotArea,BldgArea,NumBldgs,NumFloors,YearBuilt,BuiltFAR,total_ghg
235,1013390012,992843.0,213270.0,,,49.0,12552,154000,1,20.0,1959,12.27,930.8
236,1013657501,994161.0,214621.0,,,1.0,17473,213438,1,20.0,1958,12.22,3107.8
237,1014957501,995226.0,223167.0,35.2,98.3,91.0,9693,98413,1,12.0,1938,10.15,254.8
238,1013740069,991907.0,217823.0,68.3,142.7,17.0,13229,174780,1,18.0,1963,13.21,969.0
239,1014247501,995406.0,218858.0,146.8,233.2,2.0,19564,23051,1,16.0,1957,1.18,1495.7
240,1013907502,994438.0,221279.0,19.3,34.0,100.0,6206,53144,1,13.0,1982,8.56,234.0
241,1006090001,984321.0,208116.0,85.1,132.5,,8883,137882,1,20.0,1961,15.52,852.2
242,1014870039,997851.0,219370.0,,,10.0,9983,81000,1,14.0,1964,8.11,887.5
243,1015187501,996952.0,224185.0,95.7,169.8,25.0,9300,81461,1,15.0,1962,8.76,644.9
244,1013780048,992854.0,218495.0,,,4.0,13305,106163,1,10.0,1910,7.98,712.3
245,1008670033,989659.0,212311.0,,,78.0,10751,127089,1,17.0,1940,11.82,669.2
246,1015100030,996218.0,222011.0,,,77.0,8085,59149,1,9.0,1927,7.32,378.3
247,4064010019,1032681.0,211068.0,253.9,552.2,9.0,44199,164873,1,3.0,2008,3.73,3005.7
248,1015320022,997590.0,222867.0,78.5,127.5,53.0,25177,363389,1,30.0,1970,14.43,1563.2
249,1014027501,994511.0,218739.0,124.9,210.8,7.0,10000,144425,1,19.0,1965,14.44,1181.4
250,1015000045,996183.0,224252.0,75.8,129.8,23.0,23345,364623,1,30.0,1973,15.62,1532.3
251,1015440019,997529.0,221285.0,,,75.0,20440,217720,1,20.0,1963,10.65,887.3
252,1011250024,990662.0,222387.0,83.2,128.6,50.0,48490,625517,1,36.0,1964,12.9,3116.3
253,1015070040,997237.0,225813.0,,,73.0,10076,119765,1,16.0,1930,11.89,609.3
254,1013680025,995001.0,215154.0,,,75.0,14100,206411,1,19.0,1938,14.64,853.4
255,1018900001,992143.0,230653.0,,,95.0,14632,190890,2,14.0,1923,13.05,667.1
256,1012100019,990781.0,224417.0,,,83.0,10216,123898,1,15.0,1926,12.13,521.6
257,1013120069,992546.0,216868.0,102.3,164.9,,10639,122801,1,14.0,1908,11.54,975.5
258,1015110069,995805.0,222676.0,23.3,69.8,,11600,142075,1,15.0,1929,12.25,286.6
259,1013367501,992214.0,212727.0,79.6,133.4,,10050,110149,1,28.0,1983,10.96,621.3
260,1014970041,995957.0,223497.0,,,,7583,97755,2,19.0,1957,12.89,555.7
261,1013237501,992822.0,214212.0,,,68.0,11559,169891,1,32.0,1985,14.7,820.8
262,1005607501,985896.0,205846.0,,,,44000,199654,1,6.0,1955,4.54,712.4
263,1014097502,994986.0,220640.0,,,,14624,128588,1,11.0,1929,8.79,461.7
